,POT,TRT,REP,SPP,LIT,INS,ROOT01,TOTBIOM01,FLOWTIME,ABOVETOT02,Asctu,Bucda,Andge,Elyca,Astaz,Sornu,Koecr,Liaas,Panvi,Eupco,Corpa,Achmi,Solne,Anecy,Bougr,Schsc,Rudhi,Spocr,fdis,fgr,mpd,pdtot
55,55,15,1,16,0,1,1.7,69.641,8.033333333,34.09,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2370177785,10,237.222761575,796.25051
56,56,1,5,1,1,1,0.87,48.2,5.533333333,15.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,NA,188.283211
58,58,15,5,16,0,1,1.43,86.328,7.35,36.288,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.2241087808,10,249.8338772667,850.675462
59,59,8,3,4,1,0,1.75,62.78,7.383333333,22.31,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0.198338279,3,266.8447033333,423.967623
60,60,4,3,8,1,1,3.75,135.927,5.283333333,18.65,2,0,0,0,0,2,0,2,2,0,0,2,2,0,2,2,0,0,0.1608895304,6,254.1262685,586.55394
61,61,12,3,2,0,1,1.19,80.96,7.033333333,22.31,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0.0772283335,2,376.566487,376.566487
62,62,12,4,2,0,1,2.38,78.451,6.883333333,31.179,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2391127639,2,19.361166,197.963826
63,63,11,5,1,0,1,1.25,61.32,6.816666667,26.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,NA,188.283243
64,64,12,5,2,0,1,4.13,62.007,5.433333333,33.2,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.3768808432,2,376.566474,376.566474
65,65,11,1,1,0,1,4.24,48.77,4.783333333,18.529,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,188.283243
66,66,18,4,4,0,0,1.15,58.58,11.83333333,31.857,0,0,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0.2614358959,4,319.2720506667,632.632448
67,67,18,2,4,0,0,0.85,42.156,2.9,37.15,4,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0.243393029,4,265.0621493333,504.031717
68,68,16,4,1,0,0,6.26,86.21,2.016666667,34.33,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,NA,188.283241
69,69,13,4,4,0,1,1.53,75.68,1.766666667,26.34,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0.1594815491,4,196.6387478333,391.952418
70,70,3,2,4,1,1,0.87,26.31,2.25,19.73,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0.1180114244,2,257.6179631667,481.699173
